Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene	Percent	Dataset Size (#)	Dataset	hex_color	color
Cd_3	C. difficile	27	4300000	116100000	103493	102135	1342	16	1358	73770	72652	1118	31223	30761	462	259	251	8	16145.524216524216	13729	77244	10353	25	27	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	105405	104043	1346	16	1362	75013	73881	1132	31900	31464	436	281	273	8	16175.552706552706	16113	80001	10497	25	27	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	68259	67460	791	8	799	46929	46268	661	22266	22003	263	211	206	5	13820.569800569801	13625	39487	7330	25	27	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	121930	119538	2360	32	2392	85007	83040	1967	38454	37659	795	404	392	12	18504.63817663818	16933	79677	10893	25	27	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	43786	43432	351	3	354	29289	29004	285	15076	14959	117	149	146	3	11590.649572649572	9846	19262	4994	25	27	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	107296	105829	1449	18	1467	76034	74826	1208	32765	32274	491	290	282	8	20874.11111111111	16256	79748	10472	25	27	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	107710	106220	1476	14	1490	76416	75184	1232	32793	32294	499	295	288	7	20121.985754985755	10161	80084	10656	25	27	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	104067	102752	1297	18	1315	73998	72902	1096	31538	31103	435	271	264	7	20858.940170940172	16890	80001	10289	25	27	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	67881	67100	775	6	781	46638	46000	638	22163	21898	265	212	207	5	11751.888888888889	8069	39408	7204	25	27	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	106554	105140	1395	19	1414	75717	74551	1166	32361	31879	482	277	269	8	20691.498575498576	16581	79854	10585	25	27	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	54	4300000	232200000	126502	123883	2578	41	2619	88748	86594	2154	39412	38536	876	364	351	13	14656.148846960168	13712	77244	11044	50	54	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	54	4300000	232200000	136811	133644	3121	46	3167	94648	92055	2593	43817	42739	1078	462	448	14	20090.890985324946	16865	80084	11330	50	54	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	54	4300000	232200000	136899	133723	3130	46	3176	94682	92073	2609	43884	42797	1087	465	450	15	15415.948287910553	13435	79734	11350	50	54	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	54	4300000	232200000	128897	126179	2679	39	2718	88586	86371	2215	41868	40923	945	451	436	15	18896.317260656884	10717	79717	11086	50	54	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	54	4300000	232200000	137307	134159	3102	46	3148	94952	92369	2583	44020	42953	1067	464	451	13	15424.19357092942	16270	80001	11315	50	54	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	54	4300000	232200000	132783	129948	2793	42	2835	92291	89973	2318	42140	41171	969	401	386	15	23528.77707896576	16323	79918	11262	50	54	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	54	4300000	232200000	123192	120745	2420	27	2447	85527	83518	2009	39173	38338	835	412	397	15	18673.461914744934	16744	80084	10995	50	54	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	54	4300000	232200000	114150	112372	1754	24	1778	79904	78447	1457	35719	35110	609	342	334	8	18032.79175401817	13435	80001	10928	50	54	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	54	4300000	232200000	130962	128141	2779	42	2821	91266	88958	2308	41332	40375	957	392	375	17	14512.247379454926	13200	77096	11101	50	54	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	54	4300000	232200000	116927	115055	1846	26	1872	81510	79975	1535	36963	36320	643	353	342	11	16060.109713487072	10161	79854	10931	50	54	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	80	4300000	344000000	143036	139573	3409	54	3463	97934	95108	2826	46728	45530	1198	515	496	19	15850.488924050633	16287	80001	11497	75	80	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	80	4300000	344000000	139645	136338	3256	51	3307	96169	93463	2706	45084	43956	1128	491	476	15	18765.10411392405	16321	80084	11364	75	80	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	80	4300000	344000000	139073	135794	3228	51	3279	95770	93089	2681	44932	43805	1127	488	472	16	18592.000316455695	14092	79939	11419	75	80	C. difficile #3	#42d4f4	cyan
