Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MaxSNPDist	NumBiallelicOverlappingGene	Percent	SNPDist_95p_of_max	Within_5p_MaxSNPDist	Plot_name	hex_color	color
Cd_3	C. difficile	5	4300000	21500000	21203	21165	38	0	38	14491	14461	30	6998	6986	12	56	56	0	17295	2551	5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	23789	23710	79	0	79	16521	16458	63	7652	7628	24	54	53	1	17619	2785	5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	17236	17177	59	0	59	12016	11967	49	5522	5505	17	61	61	0	10184	2224	5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	81430	81212	218	0	218	60165	59985	180	22603	22529	74	165	165	0	78099	9360	5	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	20823	20785	38	0	38	14509	14482	27	6635	6623	12	47	46	1	17484	2441	5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	24317	24239	78	0	78	16893	16831	62	7801	7775	26	64	62	2	17615	2857	5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	23938	23856	82	0	82	16529	16464	65	7771	7743	28	66	64	2	17458	2821	5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	92846	91979	863	4	867	67655	66929	726	26636	26361	275	197	193	4	76812	9804	7.5	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	24666	24575	89	2	91	17133	17061	72	7918	7890	28	63	62	1	17629	2851	7.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	33433	33242	190	1	191	22928	22774	154	10994	10930	64	94	92	2	18685	3744	7.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	35060	34857	201	2	203	23688	23524	164	11850	11781	69	110	110	0	18785	4145	7.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	27321	27200	120	1	121	18715	18617	98	9020	8983	37	65	63	2	17629	3174	7.5	76079.8	FALSE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	90861	90197	657	7	664	66129	65567	562	26163	25963	200	220	217	3	78690	9946	7.5	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	92920	92115	802	3	805	67597	66933	664	26781	26524	257	203	199	4	78909	9724	7.5	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
